淘宝店： 智美教育  整理
蓝精灵    寻 找 神 秘 村
这个故事发生在    This story begins in a secret place
丛林深处的秘境之中    hidden deep in a forest.
这是个蓝精灵    That is a smurf.
我们都叫他笨笨    We call him clumsy.
这是我们的村庄    And this is our village,
居住着形形色色的蓝精灵们    where there's a smurf for just about everything.
就像乐乐    Like jokey.
嘿 这有个礼物送给你    Hey, here's a present for you.
噢 萌萌 你真容易受骗    Oh, gullible smurf, you're so gullible.
实际上 我是想给你这个来着    Actually, I meant to give you this one.
哇哦 谢了    Wow! Thanks!
九六 九七 九八 九九 一百    这是健健    ...96, 97, 98, 99, 100.   Here's hefty.
然后这是    And over here is...
现在 接下来是单指做俯卧撑    Now, for the one fingered pushup.
一 二 三    One, two, three...
快看这个书呆子模样的蓝精灵    Meet nerdy smurf.
再说一遍    Excuse me?
抱歉聪聪 开个玩笑    Sorry, brainy. Just kidding.
奇奇    Nosey.
好了 让我们看看这边发生了什么    Hmm. Well, what's going on over there?
这是惊惊    Paranoid smurf.
赢赢    Winner.
输输    Loser.
道道    Karate smurf.
哈    Hyah!
灵灵 美美 农农 绘绘 培培    Handy. Vanity. Farmer. Painter. Baker.
魔魔 潜潜 警警 医医    Magician. Scuba. Policeman. Therapist.
有时候我就觉得自己挺蓝(忧郁)的    Sometimes I just feel blue.
甚至还有吃桌子的蓝精灵    There's even table eating smurf.
噢 嗨    Oh, hi.
对 我们对他真的不是很了解    Yeah, we're not too sure about him, either.
然后还有就是我 蓝爸爸    And then there's me, papa smurf.
你可以把我当村长    I sort of run this place.
但是这个故事不是关于我的    But this isn't a story about me.
也不是笨笨    Or clumsy.
或者他们    Or any of them.
这是关于一个我们村里唯一个女孩的故事    It's about the only girl in our village.
蓝妹妹    Smurfette.
嘿 清清    Hi, laundry smurf.
你好啊 蓝妹妹   大家好呀    Howdy do, smurfette.   Hey, guys.
但是蓝妹妹的身世    But that's not the only thing
并没有那么简单    that's different about smurfette.
她是邪恶巫师格格巫    She was created by the evil wizard, gargamel.
用黑魔法创造出来的    Using dark magic...
他用了一块粘土捏出了蓝妹妹    ...he made her from a lump of Clay.
现在 去把蓝精灵村庄找出来吧    Now, go and find smurf village.
幸运的是 我对魔法也略知一二    Luckily, I knew a little magic of my own.
但最终还是有个问题    But there was still one problem.
蓝妹妹的名字并没有告诉我们她能干啥    Smurfette's name doesn't tell us anything about her.
好 物理现象就是    Okay, the physics are...
她的名字也没有告诉我们她是谁    It doesn't tell us who she is. Hyah!
高跟鞋   或者她擅长什么    High heels.   Or what she does.
所以 蓝妹妹到底是谁    So, what exactly is a smurfette?
让我来告诉你 她就是个失败的烘焙师    Well, let me be frank. She's a rubbish Baker.
让我们来瞧瞧 蓝妹妹    Let's see. Smurfette.
蓝妹妹 妹妹 妹    Smurfette, smurfette, smurfette.
嗯 上面并没记载    Huh. It's not here.
好吧 蓝妹妹就是"蓝"和"妹妹"的组合    Well, smurfette is a combination of a smurf and an ette.
但"妹妹"又能说明什么呢    But what's an ette?
蓝妹妹 她嘛 她是个    Oh, uh, yeah. Smurfette, well, she's...
