片名：冰川时代5 星际碰撞
宇宙  The universe
浩瀚无垠的空间和物质  a vast expanse of space and matter.
包含我们一切所见和一切所知  It includes all that we see, and all that we know.
自盘古开天  Since the beginning of time,
我们好奇宇宙如何形成  we have wondered how it came to be.
是辉煌的精心计划？  A gloriously orchestrated plan?
是一连串偶然？  A chance series of events?
或者要更加的… 愚蠢的原因?  Or something much, much dumber?
今天很适合冰上活动  It's a beautiful day out here on the ice
父亲对上女儿展开曲棍球争霸  as father meets daughter in a quest for hockey supremacy.
是小桃对上曼尼  It's Peaches meets Manny.
长毛象对长毛象  Mammoth meets mammoth.
长鼻对长鼻  Mano a mano.
长毛象宝贝  Meema me moo ma.
鼻毛比你长  Mama may mee mee.
可以别吵吗？  Will you two quit it?
可以  M okay.
刻薄  Meanie.
热血长毛象和对手拉开距离  The blazing mammoth takes it on the breakaway.
从没有球员如此强悍如此优美  There's never been a player so tough, so graceful.
如此急着得分  So desperate to score.
他假装往右 假装往左  He fakes right. He fakes left.
还假装自己球技好  He fakes knowing how to play.
怎么啦？  What's wrong?
东西掉了？  Lose something?
嘿 谁超臭屁 是曼尼  Hey, what's that stink I smell out there? It's Manny!
嘿 嘿 是曼尼  Hey, hey. It's Manny!
你打的超臭  Whoo! You stink!
好 小毛球 看看你的本事  Okay, Fuzzball. Let's see what you got.
你自找的喔  You asked for it.
漂亮本姑娘又称霸球场  Yes! She dominates! Again.
哦 拜托 是我对你放水  Oh, please. I went easy on you.
这叫优质教育法  It's called good parenting.
最好是承认吧  Yeah, right. Face it.
冰上我第一名  I rule the ice now.
哦 别得意忘形 丫头  Oh, you talk a big game, hotshot.
要不然三战两胜？  All right, how about best of three?
好耶 达阵  Whoo hoo! Yes! Touchdown!
等等 不是达阵那叫什么？  Wait, no, that's not right. Not touchdown. What is it?
一杆进涧  Uh, hole in one! Whoo!
朱利安  Julian! Whoa!
抱歉  Ow! Sorry.
宝贝 我得分了看到没？  Honey, I scored! Did you see me?
有的你真了不起  Yeah! And you were amazing.
小心  Careful!
冰真的很滑溜  Oh, the ice is really icy.
就像巨无霸物超所值滑溜  It's like super sized, extra value icy.
但我进步了 对吧？  But I'm getting better, right?
好 我们晚点… 再比  Okay, we'll play later.
又被她打得屁滚尿流了吗？  So, she whupped your butt again, huh?
这么大屁股  And with a butt that size,
被打肯定尿湿一地  that's a whole lot of whuppin'.
谁尿湿一地？根本没这回事  Nobody was whupped. There was no whupping.
只有慈父  It's just a loving father
对独生女分享比赛策略  sharing some strategy with his only daughter.
我不知道表现差劲也算策略  Didn't know sucking was a strategy.
好 换我们上场  Okay, it's our turn.
让大家大开眼界  Let's show them how it's done!
你要完蛋了  You're going down, eh?
送给你我未来的岳母  For you, my mom in law to be.
金凤花  Buttercups!
大自然的阳光  Nature's sunshine.
难道阳光不是自然的阳光吗？  Isn't sunshine nature's sunshine?
谢谢 朱利安  Thank you, Julian.
已经好久没入送花给我  It's been so long since anyone's given me flowers.
但你是要娶我们的女儿  But you're marrying our daughter.
不需要一直给我们礼物  You don't have to keep bringing us presents.
但我很乐意  But it makes me happy.
至于你我的导师 靠山 长毛老兄  And for you, my guru, my rock, my main mammoth
为你我要给出最棒的礼物  To you, I give the greatest gift of all.
等等 你想做什么？  Wait. What are you doing?
来嘛 岳父哥 抱一个  Come on, Bro Dad. Bring it in.
我能感觉到你的心跳  I can feel your heart beating.
好 这样就够了  Okay. That's enough of that.
最好早点习惯  You better get used to it.
他们以后会住在隔壁  They'll be living right next door.
朱利安 要走了吗?  Come on, Julian. Wanna go?
难道你不帮我处理那件事吗？  Actually, weren't you gonna help me with the thing?
哦 对 那件事  Oh! Right. The thing.
得处理那件事  Gotta do the thing.
我可以帮忙  I can do the thing.
不  No!
那是女生的事  It's a girl thing.
你何不去忙点男生的事？  Hey! Why don't you 90 do a guy thing?
你陪朋友的时间似乎不够多  You know, you don't spend nearly enough time with your friends.
是吗？  晚点见  I don't?   I'll see you later.
哦 好  Uh Okay.
你把决定告诉他们没？  Have you told them about our decision yet?
还没我在等适当时机  No. I'm waiting for the right time.
来吧 罗密欧 跟我走  Come on, Romeo. Walk with me.
我要去看蝴蝶破茧而出  I'm gonna watch some butterflies come out of their cocoons.
哇 真的？  假的  Whoa! Really?   No.
再见 宝贝  Goodbye, sweetie.
我记得以前曼尼跟我也是这样  Aw! I remember when Manny and I used to be like that.
我可不 爱完走人  Not me! Love them and leave them,
再拿他们一半财产  and take half of everything.
这是我的格言  That's my motto.
吾爱好多淑女都没能成功  Mi amor, so many ladies have tried and failed
追求到我男神希德  to strap a saddle on Sid the stallion.
但我想与你分享一切  But I want to share everything with you.
你就是我心中的  You're the wind beneath my fleas,
心肝宝贝  the algae of my eye.
你愿意当我的终身伴侣吗？  Will you be my mate for life?
希德？  Sidney?
希德 你在哪？  Sidney, where are you?
法兰辛  Francine.
我想问…  I need to ask
我想问你一件事  Ineedto ask you something.
你愿意嫁…  Will you marry
希德就此打住  Sid, I'm gonna stop you right there.
我要跟你分手  I'm breaking up with you.
什么？但我未来都规划好了  What? But I planned our whole future!
幸福婚礼  Our wedding.
子孙满堂  Our kids.
妈妈  Mommy.
跟我们的墓穴  Our burial plots.
你好啊  How you doing?
我还雇了乐团  I even hired a band.
嘿  Hey!
不 不 不 还没  No, no. Not yet!
你疯了吗？我们才约会一次  Are you crazy? We've only had one date.
前后共14分钟  It lasted 14 minutes!
是啊 但感觉像20分钟  Yes, but it felt like 20.
不 戒指？  I can't! A ring?
我说 我喜欢戒指 但不行  I mean, I like the ring, but no.
我无法答应 你太黏人  I can't. You're too clingy.
怎么会黏人呢？  How is this clingy?
还有一点  And by the way,
你本人跟相片差很大  you look nothing like your profile picture.
法兰辛 得把对象扩大到其他生物  Francine, you gotta start dating outside of your species.
法兰辛 一定有解决办法是因为比基尼吗？  Franny, we can work this out. Is this about the bikini? Ow!
我又不知道那是毒藤  I didn't know it was poison ivy.
法兰辛救命  Franny. Franny, help!
来人啊  Somebody.
是我的眼在痛  Is it the eyes that hurt
还是我的灵魂在痛  or my soul?
肯定是眼睛  Definitely the eyes.
女人啊  Ah, women!
对 女人  Yeah, women.
女人怎么了？  What about them?
我不懂她们  I don't get 'em.
像艾丽和她一起生活很棒  Like, Ellie. Life's great with her.
没什么意外 也没什么改变  There's no surprises. Nothing ever changes.
但是今天她却傻笑  But then today, she giggled.
希拉曾傻笑过吗?  Does Shira ever just giggle?
拜托别吃我  Please don't eat me!
哦 希拉不怎么爱笑  Uh Shira's not a big giggler.
艾丽今天傻笑了  Well, Ellie giggled.
还扭来扭去  And then she wiggled.
"嘻嘻嘻”砰  "Tee hee hee hee." Boom!
别再这么做  Don't ever do that again.
我不懂她为何举止变这么怪  I have no idea why she's acting so weird.
女人啊  Women.
女人  Women.
女人  Women.
喂  Hello?
说怪人就到  And speaking of weird.
有人在吗？哦  anybody there? Oh
马可 波罗  Marco? Polo?
嗨 曼尼  Oh, hi, Manny.
你嘴巴好臭  Ew! Your breath is awful.
你是怎么了？  What happened to you?
没事 一切都很棒  Oh, nothing. Everything's great.
美得冒泡 快乐得不得了  Fabulous. Zippity dippity.
我来猜猜她甩了你  Okay, let me guess. She dumped you.
我出了什么问题？  What is wrong with me?
每个人都有另一半  Everybody has somebody.
我这帅气鲜肉却只有流浪乐团相伴  And all I've got is my boyish good looks and this mariachi band.
哦 好痒  Oh! So itchy!
来吧 帮你清理一下  Come on. Let's get you cleaned up.
我只是想要真爱  All I wanted is true love.
这要求太多了吗?  Is that too much to ask?
为何这么安静？  Why is it so quiet?
因为世界在哀悼我的失恋  Because the world is mourning my loss.
艾丽？  Ellie?
小桃？  Peaches?
大家到哪去了？  Where is everyone?
大惊喜  Surprise!
哒啦  Ta da!
老公结婚周年快乐  Happy Anniversary, honey!
结婚周年？  Anniversary?
糟糕 就是那件事  Oh, no. That's the thing.
好 轮到你了 岳父哥  Okay! Now it's your turn, Bro Dad!
对 看看你给艾丽什么？  Yeah! We wanna see what you got Ellie.
曼尼  Manny!
曼尼 曼尼 曼尼  Manny! Manny! Manny!
曼尼  Manny!
嘿 嘿 对  Hey, hey. Right.
再给艾丽点掌声好吗?  How about another hand for Ellie?
好  Yeah.
他忘了  He forgot!
真为艾丽感到难过  I feel so bad for Ellie.
艾丽 我…  Ellie, I Uh
他没忘记  He didn't forget.
曼尼对她的爱就是这么大  That's how big Manny's love is for her!
焰火秀来得正好  Nice save with the light show.
