超人总动员2
机密档案 82  712  File 82  712.
迪瑞克警官正在进行询问  Agent Rick Dicker interrogating.
请说出你的姓名  State your name, please.
呃 托尼 托尼·莱丁格  Uh, Tony. Tony Rydinger.
告诉我你看到了什么  Tell me about the incident.
就是 有一个女孩 他是我们班的  Well, there's this girl, um, in my class.
我在运动会上看到她  I saw her at the track meet.
你是巴小倩对吧    是的 没错  You're, uh, Violet, right?    That's me.
我以前也认识她 可她变了  I sort of knew her, but she'd changed.
好像更放松也更自信  Relaxed. She was more sure of herself.
很酷 很可爱  Cool, cute.
然后我就约她去看电影  I asked her out to a movie.
那就周五见  So, Friday?
周五见    周五见  Friday.    Friday.
然后我就去看运动会了  And I went to watch the track meet.
再后来 停车场里就出事了  Not long after, this thing happened in the parking lot.
我就是 暗中破坏王  Behold! The Underminer!
我一直在地下活动 我是破坏之王  I am always beneath you, but nothing is beneath me!
可事情更奇怪了  As if things aren't weird enough,
我还从车底下看到了几个怪人  I look over and I see these boots.
你们两个待在这  You two, stay here.
等一下 真的要上吗  Wait. Should we be doing this?
用超能力还是违法的  It is still illegal.
他们好像是超人  They looked like superheroes.
再不上就跟丢了    那好吧  We're gonna lose him.    Oh, all right.
你一个人控制现场  One of you patrol the perimeter,
保证周围市民的安全  keep the crowds back and safe.
另一个 照顾好小杰  The other, watch after Jack  Jack.
我以为我们也要去战斗  But I thought we were gonna go with...
能帮我个忙吗  You heard your mother.
快送我上去  Trampoline me.
我去控制现场了  I call perimeter!
哪也不许去  You're not going anywhere,
你这小捣蛋鬼  you little maggoty creep!
我看准时机想赶快逃跑  I see my chance to get out of there.
可是 有一个女孩的声音听着有些耳熟  But there's something familiar about one of the kids' voices.
就是那个女孩  The girl, she's upset
她一生气就把面具给摘了  and she throws down her mask...
竟然是她  and it's her!
噢 托尼  Oh. Tony!
嗨  Hi.
呃 我好像不是你想的那样  Uh, this isn't what you think it is.
这太奇怪了  It was just getting too freaky.
我一下接受不了 就跑了  I couldn't handle it and ran off.
我觉得有点对不起她  I feel kinda bad about it.
也许我应该跟她打声招呼什么的  Maybe I should've said "hi" or something?
超人不合法也不是她的错  It's not her fault superheroes are illegal.
我也不是不喜欢厉害的女孩  And it's not like I don't like strong girls.
其实我对我自己很有 信心  I'm pretty secure manhood  wise.
那是什么  What is that?
你和别人说起这件事吗 比如你父母  Have you told anyone else about this? Your parents?
没有 他们肯定以为我在撒谎  No, they'd only think I was hiding something.
您能明白吗    很明白 孩子  You know what I mean?    Sure, kid.
我很喜欢这个女孩 迪瑞克先生  I like this girl, Mr. Dicker.
